index,pos,driver,gap,time_remaining,session,parsed_value,value_type,lap_time_sec,pole_time_sec,gap_to_pole_sec,gap_to_pole_pct,z_score,cluster,is_fastest_cluster,is_outlier,best_lap_time_sec_std,mean_gap_to_pole_pct_std,share_within_0_5pct_std,qr_fitted
46,9,Pierre,1.592,00:07:40,Q2,1.592,gap,87.392,85.8,1.5919999999999987,1.855477855477854,0.5603492712739495,0,0,0,-0.42182711032095527,0.054019664344794154,-0.31843672849984117,2.106700226758785
46,10,Carlos,1.69,00:07:40,Q2,1.69,gap,87.49,85.8,1.6899999999999977,1.969696969696967,0.70526572501268,0,0,0,0.3280377114426986,0.10391248988124763,-0.4033930544087214,1.8847329711538061
46,11,Nico,1.693,00:07:40,Q2,1.693,gap,87.493,85.8,1.6929999999999978,1.9731934731934706,0.709701942984274,0,0,0,-0.8159002148514155,-0.5239050724400899,-0.10923747516607785,1.679097389378796
46,12,Romain,2.965,00:07:40,Q2,2.965,gap,88.765,85.8,2.9650000000000034,3.4557109557109595,2.5906583629400686,0,0,0,0.02178661306474214,1.0755586283169865,-0.4033930544087214,2.9250647336036746
46,1,Valtteri,01:25.8,00:03:45,Q2,85.8,absolute,85.8,85.8,0.0,0.0,-1.7938037323185108,1,1,0,-1.860756903435007,-2.013861469175051,3.4351842430514847,0.2544197690139056
46,2,Lewis,0.481,00:03:45,Q2,0.481,gap,86.28099999999999,85.8,0.48099999999999454,0.5606060606060542,-1.0825301175396405,1,1,0,-1.7898237446195233,-1.8792760546064902,2.3102273679091856,0.4810164398936566
46,3,Daniel,0.851,00:03:45,Q2,0.851,gap,86.651,85.8,0.8509999999999991,0.9918414918414908,-0.5353965677097272,0,0,0,-0.7100634382060851,-0.6921864690618746,-0.39584956561173834,1.5110413975679389
46,4,Charles,0.924,00:03:45,Q2,0.924,gap,86.724,85.8,0.9240000000000066,1.0769230769230846,-0.4274485970675995,0,0,0,-0.30698294842923557,-0.3830318715621871,-0.38812962093646325,1.6549990119924165
46,5,Max,0.994,00:03:45,Q2,0.994,gap,86.794,85.8,0.9939999999999998,1.1585081585081582,-0.3239368443970868,0,0,0,-0.7100634382060851,-0.7250591432201096,0.6235107319871428,1.3667362774733611
46,6,Lance,1.058,00:03:45,Q2,1.058,gap,86.858,85.8,1.058000000000007,1.2331002331002412,-0.22929752766974104,0,0,0,-0.5738267363541348,-0.01693795317890552,-0.4033930544087214,2.105005363910359
46,7,Alexander,1.196,00:03:45,Q2,1.196,gap,86.996,85.8,1.195999999999998,1.3939393939393916,-0.025231500976437848,0,0,0,-0.30698294842923557,0.11836287792135991,-0.3165522998290342,2.125116412876276
46,8,Lando,1.283,00:03:45,Q2,1.283,gap,87.083,85.8,1.2830000000000013,1.4953379953379968,0.10341882019978826,0,0,0,-0.03788731419272302,0.18272320513484303,-0.4033930544087214,2.095999270909495
46,9,Esteban,1.507,00:03:45,Q2,1.507,gap,87.307,85.8,1.507000000000005,1.7564102564102624,0.434656428745467,0,0,0,-0.5918415068469615,-0.1004045164011523,-0.4033930544087214,2.0321266099385165
46,10,Pierre,1.592,00:03:45,Q2,1.592,gap,87.392,85.8,1.5919999999999987,1.855477855477854,0.5603492712739495,0,0,0,-0.42182711032095527,0.054019664344794154,-0.31843672849984117,2.106700226758785
46,11,Sebastian,1.594,00:03:45,Q2,1.594,gap,87.39399999999999,85.8,1.593999999999994,1.857808857808851,0.563306749921672,0,0,0,0.32240809566369727,0.05130538589116994,-0.4033930544087214,1.8366695261800223
46,12,Carlos,1.69,00:03:45,Q2,1.69,gap,87.49,85.8,1.6899999999999977,1.969696969696967,0.70526572501268,0,0,0,0.3280377114426986,0.10391248988124763,-0.4033930544087214,1.8847329711538061
46,13,Nico,1.693,00:03:45,Q2,1.693,gap,87.493,85.8,1.6929999999999978,1.9731934731934706,0.709701942984274,0,0,0,-0.8159002148514155,-0.5239050724400899,-0.10923747516607785,1.679097389378796
46,14,Romain,2.965,00:03:45,Q2,2.965,gap,88.765,85.8,2.9650000000000034,3.4557109557109595,2.5906583629400686,0,0,0,0.02178661306474214,1.0755586283169865,-0.4033930544087214,2.9250647336036746
47,1,Valtteri,01:25.8,00:07:37,Q2,85.8,absolute,85.8,85.8,0.0,0.0,-1.7938037323185108,1,1,0,-1.860756903435007,-2.013861469175051,3.4351842430514847,0.2544197690139056
47,2,Lewis,0.481,00:07:37,Q2,0.481,gap,86.28099999999999,85.8,0.48099999999999454,0.5606060606060542,-1.0825301175396405,1,1,0,-1.7898237446195233,-1.8792760546064902,2.3102273679091856,0.4810164398936566
47,3,Daniel,0.851,00:07:37,Q2,0.851,gap,86.651,85.8,0.8509999999999991,0.9918414918414908,-0.5353965677097272,0,0,0,-0.7100634382060851,-0.6921864690618746,-0.39584956561173834,1.5110413975679389
47,4,Max,0.994,00:07:37,Q2,0.994,gap,86.794,85.8,0.9939999999999998,1.1585081585081582,-0.3239368443970868,0,0,0,-0.7100634382060851,-0.7250591432201096,0.6235107319871428,1.3667362774733611
47,5,Lance,1.058,00:07:37,Q2,1.058,gap,86.858,85.8,1.058000000000007,1.2331002331002412,-0.22929752766974104,0,0,0,-0.5738267363541348,-0.01693795317890552,-0.4033930544087214,2.105005363910359
47,6,Alexander,1.196,00:07:37,Q2,1.196,gap,86.996,85.8,1.195999999999998,1.3939393939393916,-0.025231500976437848,0,0,0,-0.30698294842923557,0.11836287792135991,-0.3165522998290342,2.125116412876276
47,7,Lando,1.283,00:07:37,Q2,1.283,gap,87.083,85.8,1.2830000000000013,1.4953379953379968,0.10341882019978826,0,0,0,-0.03788731419272302,0.18272320513484303,-0.4033930544087214,2.095999270909495
47,8,Esteban,1.507,00:07:37,Q2,1.507,gap,87.307,85.8,1.507000000000005,1.7564102564102624,0.434656428745467,0,0,0,-0.5918415068469615,-0.1004045164011523,-0.4033930544087214,2.0321266099385165
47,9,Pierre,1.592,00:07:37,Q2,1.592,gap,87.392,85.8,1.5919999999999987,1.855477855477854,0.5603492712739495,0,0,0,-0.42182711032095527,0.054019664344794154,-0.31843672849984117,2.106700226758785
47,10,Carlos,1.69,00:07:37,Q2,1.69,gap,87.49,85.8,1.6899999999999977,1.969696969696967,0.70526572501268,0,0,0,0.3280377114426986,0.10391248988124763,-0.4033930544087214,1.8847329711538061
47,11,Nico,1.693,00:07:37,Q2,1.693,gap,87.493,85.8,1.6929999999999978,1.9731934731934706,0.709701942984274,0,0,0,-0.8159002148514155,-0.5239050724400899,-0.10923747516607785,1.679097389378796
47,12,Romain,2.965,00:07:37,Q2,2.965,gap,88.765,85.8,2.9650000000000034,3.4557109557109595,2.5906583629400686,0,0,0,0.02178661306474214,1.0755586283169865,-0.4033930544087214,2.9250647336036746
47,1,Valtteri,01:25.8,00:03:42,Q2,85.8,absolute,85.8,85.8,0.0,0.0,-1.7938037323185108,1,1,0,-1.860756903435007,-2.013861469175051,3.4351842430514847,0.2544197690139056
47,2,Lewis,0.481,00:03:42,Q2,0.481,gap,86.28099999999999,85.8,0.48099999999999454,0.5606060606060542,-1.0825301175396405,1,1,0,-1.7898237446195233,-1.8792760546064902,2.3102273679091856,0.4810164398936566
47,3,Daniel,0.851,00:03:42,Q2,0.851,gap,86.651,85.8,0.8509999999999991,0.9918414918414908,-0.5353965677097272,0,0,0,-0.7100634382060851,-0.6921864690618746,-0.39584956561173834,1.5110413975679389
47,4,Charles,0.924,00:03:42,Q2,0.924,gap,86.724,85.8,0.9240000000000066,1.0769230769230846,-0.4274485970675995,0,0,0,-0.30698294842923557,-0.3830318715621871,-0.38812962093646325,1.6549990119924165
47,5,Max,0.994,00:03:42,Q2,0.994,gap,86.794,85.8,0.9939999999999998,1.1585081585081582,-0.3239368443970868,0,0,0,-0.7100634382060851,-0.7250591432201096,0.6235107319871428,1.3667362774733611
47,6,Lance,1.058,00:03:42,Q2,1.058,gap,86.858,85.8,1.058000000000007,1.2331002331002412,-0.22929752766974104,0,0,0,-0.5738267363541348,-0.01693795317890552,-0.4033930544087214,2.105005363910359
47,7,Alexander,1.196,00:03:42,Q2,1.196,gap,86.996,85.8,1.195999999999998,1.3939393939393916,-0.025231500976437848,0,0,0,-0.30698294842923557,0.11836287792135991,-0.3165522998290342,2.125116412876276
47,8,Lando,1.283,00:03:42,Q2,1.283,gap,87.083,85.8,1.2830000000000013,1.4953379953379968,0.10341882019978826,0,0,0,-0.03788731419272302,0.18272320513484303,-0.4033930544087214,2.095999270909495
47,9,Esteban,1.507,00:03:42,Q2,1.507,gap,87.307,85.8,1.507000000000005,1.7564102564102624,0.434656428745467,0,0,0,-0.5918415068469615,-0.1004045164011523,-0.4033930544087214,2.0321266099385165
47,10,Pierre,1.592,00:03:42,Q2,1.592,gap,87.392,85.8,1.5919999999999987,1.855477855477854,0.5603492712739495,0,0,0,-0.42182711032095527,0.054019664344794154,-0.31843672849984117,2.106700226758785
47,11,Sebastian,1.594,00:03:42,Q2,1.594,gap,87.39399999999999,85.8,1.593999999999994,1.857808857808851,0.563306749921672,0,0,0,0.32240809566369727,0.05130538589116994,-0.4033930544087214,1.8366695261800223
47,12,Carlos,1.69,00:03:42,Q2,1.69,gap,87.49,85.8,1.6899999999999977,1.969696969696967,0.70526572501268,0,0,0,0.3280377114426986,0.10391248988124763,-0.4033930544087214,1.8847329711538061
47,13,Nico,1.693,00:03:42,Q2,1.693,gap,87.493,85.8,1.6929999999999978,1.9731934731934706,0.709701942984274,0,0,0,-0.8159002148514155,-0.5239050724400899,-0.10923747516607785,1.679097389378796
47,14,Romain,2.965,00:03:42,Q2,2.965,gap,88.765,85.8,2.9650000000000034,3.4557109557109595,2.5906583629400686,0,0,0,0.02178661306474214,1.0755586283169865,-0.4033930544087214,2.9250647336036746
48,1,Valtteri,01:25.8,00:07:32,Q2,85.8,absolute,85.8,85.8,0.0,0.0,-1.7938037323185108,1,1,0,-1.860756903435007,-2.013861469175051,3.4351842430514847,0.2544197690139056
48,2,Lewis,0.481,00:07:32,Q2,0.481,gap,86.28099999999999,85.8,0.48099999999999454,0.5606060606060542,-1.0825301175396405,1,1,0,-1.7898237446195233,-1.8792760546064902,2.3102273679091856,0.4810164398936566
48,3,Daniel,0.851,00:07:32,Q2,0.851,gap,86.651,85.8,0.8509999999999991,0.9918414918414908,-0.5353965677097272,0,0,0,-0.7100634382060851,-0.6921864690618746,-0.39584956561173834,1.5110413975679389
48,4,Max,0.994,00:07:32,Q2,0.994,gap,86.794,85.8,0.9939999999999998,1.1585081585081582,-0.3239368443970868,0,0,0,-0.7100634382060851,-0.7250591432201096,0.6235107319871428,1.3667362774733611
48,5,Lance,1.058,00:07:32,Q2,1.058,gap,86.858,85.8,1.058000000000007,1.2331002331002412,-0.22929752766974104,0,0,0,-0.5738267363541348,-0.01693795317890552,-0.4033930544087214,2.105005363910359
48,6,Alexander,1.196,00:07:32,Q2,1.196,gap,86.996,85.8,1.195999999999998,1.3939393939393916,-0.025231500976437848,0,0,0,-0.30698294842923557,0.11836287792135991,-0.3165522998290342,2.125116412876276
48,7,Lando,1.283,00:07:32,Q2,1.283,gap,87.083,85.8,1.2830000000000013,1.4953379953379968,0.10341882019978826,0,0,0,-0.03788731419272302,0.18272320513484303,-0.4033930544087214,2.095999270909495
48,8,Esteban,1.507,00:07:32,Q2,1.507,gap,87.307,85.8,1.507000000000005,1.7564102564102624,0.434656428745467,0,0,0,-0.5918415068469615,-0.1004045164011523,-0.4033930544087214,2.0321266099385165
48,9,Pierre,1.592,00:07:32,Q2,1.592,gap,87.392,85.8,1.5919999999999987,1.855477855477854,0.5603492712739495,0,0,0,-0.42182711032095527,0.054019664344794154,-0.31843672849984117,2.106700226758785
48,10,Carlos,1.69,00:07:32,Q2,1.69,gap,87.49,85.8,1.6899999999999977,1.969696969696967,0.70526572501268,0,0,0,0.3280377114426986,0.10391248988124763,-0.4033930544087214,1.8847329711538061
48,11,Nico,1.693,00:07:32,Q2,1.693,gap,87.493,85.8,1.6929999999999978,1.9731934731934706,0.709701942984274,0,0,0,-0.8159002148514155,-0.5239050724400899,-0.10923747516607785,1.679097389378796
48,12,Romain,2.965,00:07:32,Q2,2.965,gap,88.765,85.8,2.9650000000000034,3.4557109557109595,2.5906583629400686,0,0,0,0.02178661306474214,1.0755586283169865,-0.4033930544087214,2.9250647336036746
48,1,Valtteri,01:25.8,00:03:38,Q2,85.8,absolute,85.8,85.8,0.0,0.0,-1.7938037323185108,1,1,0,-1.860756903435007,-2.013861469175051,3.4351842430514847,0.2544197690139056
48,2,Lewis,0.481,00:03:38,Q2,0.481,gap,86.28099999999999,85.8,0.48099999999999454,0.5606060606060542,-1.0825301175396405,1,1,0,-1.7898237446195233,-1.8792760546064902,2.3102273679091856,0.4810164398936566
48,3,Daniel,0.851,00:03:38,Q2,0.851,gap,86.651,85.8,0.8509999999999991,0.9918414918414908,-0.5353965677097272,0,0,0,-0.7100634382060851,-0.6921864690618746,-0.39584956561173834,1.5110413975679389
48,4,Charles,0.924,00:03:38,Q2,0.924,gap,86.724,85.8,0.9240000000000066,1.0769230769230846,-0.4274485970675995,0,0,0,-0.30698294842923557,-0.3830318715621871,-0.38812962093646325,1.6549990119924165
48,5,Max,0.994,00:03:38,Q2,0.994,gap,86.794,85.8,0.9939999999999998,1.1585081585081582,-0.3239368443970868,0,0,0,-0.7100634382060851,-0.7250591432201096,0.6235107319871428,1.3667362774733611
48,6,Lance,1.058,00:03:38,Q2,1.058,gap,86.858,85.8,1.058000000000007,1.2331002331002412,-0.22929752766974104,0,0,0,-0.5738267363541348,-0.01693795317890552,-0.4033930544087214,2.105005363910359
48,7,Alexander,1.196,00:03:38,Q2,1.196,gap,86.996,85.8,1.195999999999998,1.3939393939393916,-0.025231500976437848,0,0,0,-0.30698294842923557,0.11836287792135991,-0.3165522998290342,2.125116412876276
48,8,Lando,1.283,00:03:38,Q2,1.283,gap,87.083,85.8,1.2830000000000013,1.4953379953379968,0.10341882019978826,0,0,0,-0.03788731419272302,0.18272320513484303,-0.4033930544087214,2.095999270909495
48,9,Esteban,1.507,00:03:38,Q2,1.507,gap,87.307,85.8,1.507000000000005,1.7564102564102624,0.434656428745467,0,0,0,-0.5918415068469615,-0.1004045164011523,-0.4033930544087214,2.0321266099385165
48,10,Pierre,1.592,00:03:38,Q2,1.592,gap,87.392,85.8,1.5919999999999987,1.855477855477854,0.5603492712739495,0,0,0,-0.42182711032095527,0.054019664344794154,-0.31843672849984117,2.106700226758785
48,11,Sebastian,1.594,00:03:38,Q2,1.594,gap,87.39399999999999,85.8,1.593999999999994,1.857808857808851,0.563306749921672,0,0,0,0.32240809566369727,0.05130538589116994,-0.4033930544087214,1.8366695261800223
48,12,Carlos,1.69,00:03:38,Q2,1.69,gap,87.49,85.8,1.6899999999999977,1.969696969696967,0.70526572501268,0,0,0,0.3280377114426986,0.10391248988124763,-0.4033930544087214,1.8847329711538061
48,13,Nico,1.693,00:03:38,Q2,1.693,gap,87.493,85.8,1.6929999999999978,1.9731934731934706,0.709701942984274,0,0,0,-0.8159002148514155,-0.5239050724400899,-0.10923747516607785,1.679097389378796
48,14,Romain,2.965,00:03:38,Q2,2.965,gap,88.765,85.8,2.9650000000000034,3.4557109557109595,2.5906583629400686,0,0,0,0.02178661306474214,1.0755586283169865,-0.4033930544087214,2.9250647336036746
49,1,Valtteri,01:25.8,00:07:28,Q2,85.8,absolute,85.8,85.8,0.0,0.0,-1.7938037323185108,1,1,0,-1.860756903435007,-2.013861469175051,3.4351842430514847,0.2544197690139056
49,2,Lewis,0.481,00:07:28,Q2,0.481,gap,86.28099999999999,85.8,0.48099999999999454,0.5606060606060542,-1.0825301175396405,1,1,0,-1.7898237446195233,-1.8792760546064902,2.3102273679091856,0.4810164398936566
49,3,Daniel,0.851,00:07:28,Q2,0.851,gap,86.651,85.8,0.8509999999999991,0.9918414918414908,-0.5353965677097272,0,0,0,-0.7100634382060851,-0.6921864690618746,-0.39584956561173834,1.5110413975679389
49,4,Max,0.994,00:07:28,Q2,0.994,gap,86.794,85.8,0.9939999999999998,1.1585081585081582,-0.3239368443970868,0,0,0,-0.7100634382060851,-0.7250591432201096,0.6235107319871428,1.3667362774733611
49,5,Lance,1.058,00:07:28,Q2,1.058,gap,86.858,85.8,1.058000000000007,1.2331002331002412,-0.22929752766974104,0,0,0,-0.5738267363541348,-0.01693795317890552,-0.4033930544087214,2.105005363910359
49,6,Alexander,1.196,00:07:28,Q2,1.196,gap,86.996,85.8,1.195999999999998,1.3939393939393916,-0.025231500976437848,0,0,0,-0.30698294842923557,0.11836287792135991,-0.3165522998290342,2.125116412876276
49,7,Lando,1.283,00:07:28,Q2,1.283,gap,87.083,85.8,1.2830000000000013,1.4953379953379968,0.10341882019978826,0,0,0,-0.03788731419272302,0.18272320513484303,-0.4033930544087214,2.095999270909495
49,8,Esteban,1.507,00:07:28,Q2,1.507,gap,87.307,85.8,1.507000000000005,1.7564102564102624,0.434656428745467,0,0,0,-0.5918415068469615,-0.1004045164011523,-0.4033930544087214,2.0321266099385165
49,9,Pierre,1.592,00:07:28,Q2,1.592,gap,87.392,85.8,1.5919999999999987,1.855477855477854,0.5603492712739495,0,0,0,-0.42182711032095527,0.054019664344794154,-0.31843672849984117,2.106700226758785
49,10,Carlos,1.69,00:07:28,Q2,1.69,gap,87.49,85.8,1.6899999999999977,1.969696969696967,0.70526572501268,0,0,0,0.3280377114426986,0.10391248988124763,-0.4033930544087214,1.8847329711538061
49,11,Nico,1.693,00:07:28,Q2,1.693,gap,87.493,85.8,1.6929999999999978,1.9731934731934706,0.709701942984274,0,0,0,-0.8159002148514155,-0.5239050724400899,-0.10923747516607785,1.679097389378796
49,12,Romain,2.965,00:07:28,Q2,2.965,gap,88.765,85.8,2.9650000000000034,3.4557109557109595,2.5906583629400686,0,0,0,0.02178661306474214,1.0755586283169865,-0.4033930544087214,2.9250647336036746
49,1,Valtteri,01:25.8,00:03:34,Q2,85.8,absolute,85.8,85.8,0.0,0.0,-1.7938037323185108,1,1,0,-1.860756903435007,-2.013861469175051,3.4351842430514847,0.2544197690139056
49,2,Lewis,0.481,00:03:34,Q2,0.481,gap,86.28099999999999,85.8,0.48099999999999454,0.5606060606060542,-1.0825301175396405,1,1,0,-1.7898237446195233,-1.8792760546064902,2.3102273679091856,0.4810164398936566
49,3,Daniel,0.851,00:03:34,Q2,0.851,gap,86.651,85.8,0.8509999999999991,0.9918414918414908,-0.5353965677097272,0,0,0,-0.7100634382060851,-0.6921864690618746,-0.39584956561173834,1.5110413975679389
49,4,Charles,0.924,00:03:34,Q2,0.924,gap,86.724,85.8,0.9240000000000066,1.0769230769230846,-0.4274485970675995,0,0,0,-0.30698294842923557,-0.3830318715621871,-0.38812962093646325,1.6549990119924165
49,5,Max,0.994,00:03:34,Q2,0.994,gap,86.794,85.8,0.9939999999999998,1.1585081585081582,-0.3239368443970868,0,0,0,-0.7100634382060851,-0.7250591432201096,0.6235107319871428,1.3667362774733611
49,6,Lance,1.058,00:03:34,Q2,1.058,gap,86.858,85.8,1.058000000000007,1.2331002331002412,-0.22929752766974104,0,0,0,-0.5738267363541348,-0.01693795317890552,-0.4033930544087214,2.105005363910359
49,7,Alexander,1.196,00:03:34,Q2,1.196,gap,86.996,85.8,1.195999999999998,1.3939393939393916,-0.025231500976437848,0,0,0,-0.30698294842923557,0.11836287792135991,-0.3165522998290342,2.125116412876276
49,8,Lando,1.283,00:03:34,Q2,1.283,gap,87.083,85.8,1.2830000000000013,1.4953379953379968,0.10341882019978826,0,0,0,-0.03788731419272302,0.18272320513484303,-0.4033930544087214,2.095999270909495
49,9,Esteban,1.507,00:03:34,Q2,1.507,gap,87.307,85.8,1.507000000000005,1.7564102564102624,0.434656428745467,0,0,0,-0.5918415068469615,-0.1004045164011523,-0.4033930544087214,2.0321266099385165
49,10,Pierre,1.592,00:03:34,Q2,1.592,gap,87.392,85.8,1.5919999999999987,1.855477855477854,0.5603492712739495,0,0,0,-0.42182711032095527,0.054019664344794154,-0.31843672849984117,2.106700226758785
49,11,Sebastian,1.594,00:03:34,Q2,1.594,gap,87.39399999999999,85.8,1.593999999999994,1.857808857808851,0.563306749921672,0,0,0,0.32240809566369727,0.05130538589116994,-0.4033930544087214,1.8366695261800223
49,12,Carlos,1.69,00:03:34,Q2,1.69,gap,87.49,85.8,1.6899999999999977,1.969696969696967,0.70526572501268,0,0,0,0.3280377114426986,0.10391248988124763,-0.4033930544087214,1.8847329711538061
49,13,Nico,1.693,00:03:34,Q2,1.693,gap,87.493,85.8,1.6929999999999978,1.9731934731934706,0.709701942984274,0,0,0,-0.8159002148514155,-0.5239050724400899,-0.10923747516607785,1.679097389378796
49,14,Romain,2.965,00:03:34,Q2,2.965,gap,88.765,85.8,2.9650000000000034,3.4557109557109595,2.5906583629400686,0,0,0,0.02178661306474214,1.0755586283169865,-0.4033930544087214,2.9250647336036746
50,1,Valtteri,01:25.8,00:07:24,Q2,85.8,absolute,85.8,85.8,0.0,0.0,-1.7938037323185108,1,1,0,-1.860756903435007,-2.013861469175051,3.4351842430514847,0.2544197690139056
50,2,Lewis,0.481,00:07:24,Q2,0.481,gap,86.28099999999999,85.8,0.48099999999999454,0.5606060606060542,-1.0825301175396405,1,1,0,-1.7898237446195233,-1.8792760546064902,2.3102273679091856,0.4810164398936566
50,3,Daniel,0.851,00:07:24,Q2,0.851,gap,86.651,85.8,0.8509999999999991,0.9918414918414908,-0.5353965677097272,0,0,0,-0.7100634382060851,-0.6921864690618746,-0.39584956561173834,1.5110413975679389
50,4,Max,0.994,00:07:24,Q2,0.994,gap,86.794,85.8,0.9939999999999998,1.1585081585081582,-0.3239368443970868,0,0,0,-0.7100634382060851,-0.7250591432201096,0.6235107319871428,1.3667362774733611
50,5,Lance,1.058,00:07:24,Q2,1.058,gap,86.858,85.8,1.058000000000007,1.2331002331002412,-0.22929752766974104,0,0,0,-0.5738267363541348,-0.01693795317890552,-0.4033930544087214,2.105005363910359
50,6,Alexander,1.196,00:07:24,Q2,1.196,gap,86.996,85.8,1.195999999999998,1.3939393939393916,-0.025231500976437848,0,0,0,-0.30698294842923557,0.11836287792135991,-0.3165522998290342,2.125116412876276
50,7,Lando,1.283,00:07:24,Q2,1.283,gap,87.083,85.8,1.2830000000000013,1.4953379953379968,0.10341882019978826,0,0,0,-0.03788731419272302,0.18272320513484303,-0.4033930544087214,2.095999270909495
50,8,Esteban,1.507,00:07:24,Q2,1.507,gap,87.307,85.8,1.507000000000005,1.7564102564102624,0.434656428745467,0,0,0,-0.5918415068469615,-0.1004045164011523,-0.4033930544087214,2.0321266099385165
50,9,Pierre,1.592,00:07:24,Q2,1.592,gap,87.392,85.8,1.5919999999999987,1.855477855477854,0.5603492712739495,0,0,0,-0.42182711032095527,0.054019664344794154,-0.31843672849984117,2.106700226758785
50,10,Carlos,1.69,00:07:24,Q2,1.69,gap,87.49,85.8,1.6899999999999977,1.969696969696967,0.70526572501268,0,0,0,0.3280377114426986,0.10391248988124763,-0.4033930544087214,1.8847329711538061
50,11,Nico,1.693,00:07:24,Q2,1.693,gap,87.493,85.8,1.6929999999999978,1.9731934731934706,0.709701942984274,0,0,0,-0.8159002148514155,-0.5239050724400899,-0.10923747516607785,1.679097389378796
50,12,Romain,2.965,00:07:24,Q2,2.965,gap,88.765,85.8,2.9650000000000034,3.4557109557109595,2.5906583629400686,0,0,0,0.02178661306474214,1.0755586283169865,-0.4033930544087214,2.9250647336036746
50,1,Valtteri,01:25.8,00:03:30,Q2,85.8,absolute,85.8,85.8,0.0,0.0,-1.7938037323185108,1,1,0,-1.860756903435007,-2.013861469175051,3.4351842430514847,0.2544197690139056
50,2,Lewis,0.481,00:03:30,Q2,0.481,gap,86.28099999999999,85.8,0.48099999999999454,0.5606060606060542,-1.0825301175396405,1,1,0,-1.7898237446195233,-1.8792760546064902,2.3102273679091856,0.4810164398936566
50,3,Daniel,0.851,00:03:30,Q2,0.851,gap,86.651,85.8,0.8509999999999991,0.9918414918414908,-0.5353965677097272,0,0,0,-0.7100634382060851,-0.6921864690618746,-0.39584956561173834,1.5110413975679389
50,4,Charles,0.924,00:03:30,Q2,0.924,gap,86.724,85.8,0.9240000000000066,1.0769230769230846,-0.4274485970675995,0,0,0,-0.30698294842923557,-0.3830318715621871,-0.38812962093646325,1.6549990119924165
50,5,Max,0.994,00:03:30,Q2,0.994,gap,86.794,85.8,0.9939999999999998,1.1585081585081582,-0.3239368443970868,0,0,0,-0.7100634382060851,-0.7250591432201096,0.6235107319871428,1.3667362774733611
50,6,Lance,1.058,00:03:30,Q2,1.058,gap,86.858,85.8,1.058000000000007,1.2331002331002412,-0.22929752766974104,0,0,0,-0.5738267363541348,-0.01693795317890552,-0.4033930544087214,2.105005363910359
50,7,Alexander,1.196,00:03:30,Q2,1.196,gap,86.996,85.8,1.195999999999998,1.3939393939393916,-0.025231500976437848,0,0,0,-0.30698294842923557,0.11836287792135991,-0.3165522998290342,2.125116412876276
50,8,Lando,1.283,00:03:30,Q2,1.283,gap,87.083,85.8,1.2830000000000013,1.4953379953379968,0.10341882019978826,0,0,0,-0.03788731419272302,0.18272320513484303,-0.4033930544087214,2.095999270909495
50,9,Esteban,1.507,00:03:30,Q2,1.507,gap,87.307,85.8,1.507000000000005,1.7564102564102624,0.434656428745467,0,0,0,-0.5918415068469615,-0.1004045164011523,-0.4033930544087214,2.0321266099385165
50,10,Pierre,1.592,00:03:30,Q2,1.592,gap,87.392,85.8,1.5919999999999987,1.855477855477854,0.5603492712739495,0,0,0,-0.42182711032095527,0.054019664344794154,-0.31843672849984117,2.106700226758785
50,11,Sebastian,1.594,00:03:30,Q2,1.594,gap,87.39399999999999,85.8,1.593999999999994,1.857808857808851,0.563306749921672,0,0,0,0.32240809566369727,0.05130538589116994,-0.4033930544087214,1.8366695261800223
50,12,Carlos,1.69,00:03:30,Q2,1.69,gap,87.49,85.8,1.6899999999999977,1.969696969696967,0.70526572501268,0,0,0,0.3280377114426986,0.10391248988124763,-0.4033930544087214,1.8847329711538061
50,13,Nico,1.693,00:03:30,Q2,1.693,gap,87.493,85.8,1.6929999999999978,1.9731934731934706,0.709701942984274,0,0,0,-0.8159002148514155,-0.5239050724400899,-0.10923747516607785,1.679097389378796
50,14,Romain,2.965,00:03:30,Q2,2.965,gap,88.765,85.8,2.9650000000000034,3.4557109557109595,2.5906583629400686,0,0,0,0.02178661306474214,1.0755586283169865,-0.4033930544087214,2.9250647336036746
51,1,Valtteri,01:25.8,00:07:21,Q2,85.8,absolute,85.8,85.8,0.0,0.0,-1.7938037323185108,1,1,0,-1.860756903435007,-2.013861469175051,3.4351842430514847,0.2544197690139056
51,2,Lewis,0.481,00:07:21,Q2,0.481,gap,86.28099999999999,85.8,0.48099999999999454,0.5606060606060542,-1.0825301175396405,1,1,0,-1.7898237446195233,-1.8792760546064902,2.3102273679091856,0.4810164398936566
51,3,Daniel,0.851,00:07:21,Q2,0.851,gap,86.651,85.8,0.8509999999999991,0.9918414918414908,-0.5353965677097272,0,0,0,-0.7100634382060851,-0.6921864690618746,-0.39584956561173834,1.5110413975679389
51,4,Max,0.994,00:07:21,Q2,0.994,gap,86.794,85.8,0.9939999999999998,1.1585081585081582,-0.3239368443970868,0,0,0,-0.7100634382060851,-0.7250591432201096,0.6235107319871428,1.3667362774733611
51,5,Lance,1.058,00:07:21,Q2,1.058,gap,86.858,85.8,1.058000000000007,1.2331002331002412,-0.22929752766974104,0,0,0,-0.5738267363541348,-0.01693795317890552,-0.4033930544087214,2.105005363910359
51,6,Alexander,1.196,00:07:21,Q2,1.196,gap,86.996,85.8,1.195999999999998,1.3939393939393916,-0.025231500976437848,0,0,0,-0.30698294842923557,0.11836287792135991,-0.3165522998290342,2.125116412876276
